Tools,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,Frame,Time [sec],Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227966,711.806,1,OK,NaN,84.1026916,171.4950265,0.0000000,108.154,-16.021,-308.561,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227974,711.831,1,OK,NaN,84.0846865,171.5594899,0.0000000,108.858,-16.719,-308.490,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227982,711.856,1,OK,NaN,83.9648993,171.5079759,0.0000000,109.322,-18.200,-307.930,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227990,711.881,1,OK,NaN,83.7340009,171.5675624,0.0000000,109.315,-19.127,-307.835,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227998,711.906,1,OK,NaN,83.8289158,171.5477283,-0.0000000,110.093,-20.474,-307.224,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,228006,711.931,1,OK,NaN,83.7325684,171.5520307,-0.0000000,110.321,-20.924,-307.258,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,228014,711.956,1,OK,NaN,83.7285465,171.5150791,0.0000000,110.862,-22.582,-306.750,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,228022,711.981,1,OK,NaN,83.7050839,171.5470032,0.0000000,111.118,-23.713,-306.503,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,228030,712.006,1,OK,NaN,83.6239246,171.4710116,0.0000000,110.943,-24.382,-306.512,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,228038,712.031,1,OK,NaN,83.7034345,171.5019653,0.0000000,110.994,-25.444,-306.455,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,228046,712.056,1,OK,NaN,83.7762580,171.4386631,0.0000000,110.915,-26.740,-306.302,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,228054,712.081,1,OK,NaN,83.6738338,171.4075589,0.0000000,110.317,-27.646,-306.394,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,228062,712.106,1,OK,NaN,83.7278113,171.4038841,-0.0000000,110.261,-29.251,-306.341,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,228070,712.131,1,OK,NaN,83.7627361,171.4026953,0.0000000,110.143,-29.565,-306.454,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,228078,712.156,1,OK,NaN,83.7338315,171.3202002,0.0000000,109.711,-30.438,-306.577,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,228086,712.181,1,OK,NaN,83.7546224,171.4143610,0.0000000,109.449,-31.172,-306.696,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,228094,712.206,1,OK,NaN,83.7592049,171.3714675,-0.0000000,109.197,-32.410,-306.515,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,228102,712.231,1,OK,NaN,83.7736832,171.3132063,-0.0000000,108.789,-33.571,-306.699,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,228110,712.256,1,OK,NaN,83.8446158,171.2910081,-0.0000000,108.618,-34.280,-306.818,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,228118,712.281,1,OK,NaN,83.7569268,171.1819990,-0.0000000,108.257,-35.242,-306.926,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,228126,712.306,1,OK,NaN,83.7873943,171.1969978,0.0000000,108.157,-36.074,-307.182,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,228134,712.331,1,OK,NaN,83.7395785,171.2939998,0.0000000,108.024,-37.319,-307.488,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,228142,712.356,1,OK,NaN,83.6726109,171.1917249,0.0000000,107.899,-38.888,-307.637,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,228150,712.381,1,OK,NaN,83.6473506,171.1918477,0.0000000,107.998,-39.950,-308.126,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,228158,712.405,1,OK,NaN,83.7106499,171.2040608,0.0000000,108.188,-41.247,-308.468,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,228166,712.430,1,OK,NaN,83.6462389,171.0173502,0.0000000,107.743,-41.580,-308.675,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,228174,712.455,1,OK,NaN,83.6163303,170.8792303,0.0000000,107.738,-42.687,-308.689,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,228182,712.480,1,OK,NaN,83.5562866,170.8523599,-0.0000000,107.808,-44.027,-308.616,0.0000000,0
