Tools,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,Frame,Time [sec],Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214990,671.289,1,OK,NaN,87.6267830,173.6485704,-0.0000000,84.186,11.227,-301.775,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214998,671.314,1,OK,NaN,87.6297959,173.6501009,-0.0000000,82.919,11.101,-301.615,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215006,671.339,1,OK,NaN,87.7851074,173.7084987,0.0000000,82.287,10.919,-301.779,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215014,671.364,1,OK,NaN,87.8130929,173.5795591,0.0000000,81.244,11.232,-301.673,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215022,671.389,1,OK,NaN,87.8661629,173.4757535,0.0000000,80.437,11.154,-301.773,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215030,671.414,1,OK,NaN,87.9247039,173.2240481,0.0000000,79.613,11.220,-301.575,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215038,671.439,1,OK,NaN,87.9398161,173.0554789,0.0000000,78.773,11.553,-301.518,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215046,671.464,1,OK,NaN,87.9793107,172.8741097,0.0000000,77.913,11.521,-301.163,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215054,671.489,1,OK,NaN,87.9991431,172.9339427,0.0000000,77.393,11.517,-301.258,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215062,671.514,1,OK,NaN,88.0051360,172.8646294,0.0000000,76.563,11.191,-300.923,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215070,671.539,1,OK,NaN,87.9963291,172.8713224,-0.0000000,75.623,10.995,-300.870,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215078,671.564,1,OK,NaN,87.9958172,173.0078177,0.0000000,74.876,10.779,-300.494,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215086,671.589,1,OK,NaN,87.9815223,173.1489154,0.0000000,74.048,10.746,-300.409,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215094,671.614,1,OK,NaN,87.9918846,173.1558686,-0.0000000,73.032,10.452,-300.053,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215102,671.639,1,OK,NaN,88.0107994,173.1004213,0.0000000,71.806,10.620,-299.733,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215110,671.664,1,OK,NaN,88.0734044,172.9640224,0.0000000,70.396,10.721,-299.654,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215118,671.689,1,OK,NaN,88.1506633,172.9563174,0.0000000,69.090,10.764,-299.564,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215126,671.714,1,OK,NaN,88.2147130,172.9850184,0.0000000,67.832,10.342,-299.427,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215134,671.739,1,OK,NaN,88.2959203,172.9471246,-0.0000000,66.744,10.203,-299.397,0.0000000,0
